site_id,PM25,n_observed_days,longitude,latitude,PPTN,Tmin,Tmax,WS,RH,TCDC,sample_status
19-139-0018,14.486206896551723,29,-91.062605,41.414388,52.183890151977536,-7.497222259309557,1.2715557098388672,3.740568918652005,84.47919514973958,50.19305547078451,public_source_reconstruction_pending_author_sample_comparison
19-139-0020,15.675862068965518,29,-91.0616,41.4069,48.450832515292696,-7.447665699323019,1.3118891106711494,3.7357734070883857,84.47919514973958,50.19305547078451,public_source_reconstruction_pending_author_sample_comparison
19-147-1002,9.117241379310345,29,-94.693518,43.123704,41.85889146592882,-12.097888660430907,-2.474444097942776,3.7541820367177325,87.56799943712022,45.188889270358615,public_source_reconstruction_pending_author_sample_comparison
19-153-0030,11.004545454545454,88,-93.643118,41.603159,34.57638939751519,-9.857000456915962,0.715222258037991,3.954218774371677,83.33153966267903,46.195832867092555,public_source_reconstruction_pending_author_sample_comparison
19-153-2510,10.334615384615384,26,-93.7479,41.603517,34.85000180138482,-9.896111498938666,0.6833334631390042,3.9560057852003307,83.33153966267903,46.195832867092555,public_source_reconstruction_pending_author_sample_comparison
19-155-0009,10.072413793103449,29,-95.896124,41.264171,28.386110729641384,-10.576110802756416,0.593333347638448,3.83369103802575,83.01053432888455,42.85138931274414,public_source_reconstruction_pending_author_sample_comparison
19-163-0015,13.952439024390243,82,-90.587611,41.530011,45.78055239783393,-6.723888998561435,2.3829996056026883,3.7035579866833155,85.10758039686415,50.9749994913737,public_source_reconstruction_pending_author_sample_comparison
19-163-0018,14.319230769230769,26,-90.600115,41.550005,45.78055239783393,-6.723888998561435,2.3829996056026883,3.7035579866833155,85.10758039686415,50.9749994913737,public_source_reconstruction_pending_author_sample_comparison
19-163-0019,13.985555555555557,90,-90.618755,41.517772,45.78055239783393,-6.723888998561435,2.3829996056026883,3.7035579866833155,85.10758039686415,50.9749994913737,public_source_reconstruction_pending_author_sample_comparison
19-163-0020,12.824000000000002,25,-90.624044,41.512077,45.78055239783393,-6.723888998561435,2.3829996056026883,3.7035579866833155,85.10758039686415,50.9749994913737,public_source_reconstruction_pending_author_sample_comparison
19-171-0007,14.607692307692306,13,-92.65225,41.987306,32.1130571047465,-10.407220935821533,-0.8092219988505046,3.8190878868103026,83.71244244045681,47.82222213745117,public_source_reconstruction_pending_author_sample_comparison
19-177-0006,11.958620689655174,29,-92.006318,40.695078,57.551670689053005,-9.385999711354573,2.0533334917492336,3.8723187605539957,83.17963163587783,48.87222256130642,public_source_reconstruction_pending_author_sample_comparison
19-193-0019,8.86896551724138,29,-96.40021,42.522355,30.248331387837727,-12.001000054677327,-0.6642219291792976,3.8143466313680015,84.89690534803603,44.469444105360246,public_source_reconstruction_pending_author_sample_comparison
20-091-0007,10.110714285714286,28,-94.687013,38.974457,65.66250415378147,-6.866111694441901,4.04688930577702,4.083227713902791,81.194995964898,39.81805602179633,public_source_reconstruction_pending_author_sample_comparison
20-091-0010,8.055,20,-94.746424,38.838575,63.71249974568685,-7.091999737421672,4.250111462672551,4.0704611115985445,80.135011461046,39.05416641235352,public_source_reconstruction_pending_author_sample_comparison
20-107-0002,9.92962962962963,27,-94.731988,38.135882,57.59083351559109,-5.943555098109775,5.575888895988465,3.9906487544377645,80.48015009562174,38.71944393581814,public_source_reconstruction_pending_author_sample_comparison
20-173-0008,10.524137931034483,29,-97.297714,37.659334,46.25833606719971,-6.828444984224108,6.446555593278673,3.717277338769701,75.30636545817057,32.894445482889815,public_source_reconstruction_pending_author_sample_comparison
20-173-0009,9.668181818181818,22,-97.362212,37.651114,46.90666812260945,-6.624777510431078,6.5057772954305015,3.70980327129364,75.30636545817057,32.894445482889815,public_source_reconstruction_pending_author_sample_comparison
20-173-0010,10.360344827586207,29,-97.314847,37.702066,48.424724112616644,-6.76322222020891,6.277222516801622,3.7121934281455147,75.30636545817057,32.894445482889815,public_source_reconstruction_pending_author_sample_comparison
20-177-0013,10.868181818181817,22,-95.711275,39.024265,50.59333220587836,-7.299555614259508,4.242110853725009,3.988656523492601,79.78622673882379,38.61666717529297,public_source_reconstruction_pending_author_sample_comparison
20-191-0002,9.351724137931035,29,-97.366399,37.47689,48.79694620768229,-6.333667013380262,7.160666089587742,3.7026246494717068,75.30636545817057,32.894445482889815,public_source_reconstruction_pending_author_sample_comparison
20-209-0021,12.857999999999999,25,-94.635605,39.117219,66.16278027428521,-6.640555461247762,4.1882223129272464,4.090167623096042,81.194995964898,39.81805602179633,public_source_reconstruction_pending_author_sample_comparison
20-209-0022,9.433333333333334,24,-94.694816,39.046314,64.15138801998562,-6.90888872941335,3.9592229194111295,4.082677372296652,81.194995964898,39.81805602179633,public_source_reconstruction_pending_author_sample_comparison
21-013-0002,12.061538461538463,13,-83.73694,36.60843,111.15555118984646,-3.7905557023154364,8.543777073754205,3.2267945898903743,80.66591474745009,53.10277735392253,public_source_reconstruction_pending_author_sample_comparison
